name,type,value,date
Sergey.Bankevich,Russia,1583,2010/02/19
RAD,Russia,1570,2010/02/19
pperm,Russia,1563,2010/02/19
Sammarize,Russia,1560,2010/02/19
mmaxio,Russia,1539,2010/02/19
RAVEman,Ukraine,1529,2010/02/19
P___,Poland,1505,2010/02/19
Fefer_Ivan,Russia,1502,2010/02/19
tourist,Belarus,1500,2010/02/19
Um_nik,Unknown,1500,2010/02/19
RAVEman,Ukraine,1655,2010/02/26
RAD,Russia,1635,2010/02/26
ivan.popelyshev,Russia,1630,2010/02/26
Petr,Russia,1625,2010/02/26
ilyakor,Switzerland,1614,2010/02/26
tourist,Belarus,1602,2010/02/26
Sergey.Bankevich,Russia,1595,2010/02/26
mmaxio,Russia,1590,2010/02/26
PavelKunyavskiy,Russia,1587,2010/02/26
fhlasek,Czechia,1579,2010/02/26
Petr,Russia,1775,2010/03/07
ilyakor,Switzerland,1762,2010/03/07
RAD,Russia,1747,2010/03/07
ivan.popelyshev,Russia,1746,2010/03/07
ACRush,China,1692,2010/03/07
hos.lyric,Japan,1675,2010/03/07
Gassa,Russia,1673,2010/03/07
Zhukov_Dmitry,Russia,1665,2010/03/07
Ignat,Unknown,1661,2010/03/07
alexey.enkov,Russia,1660,2010/03/07
Petr,Russia,1775,2010/03/12
ilyakor,Switzerland,1762,2010/03/12
RAD,Russia,1747,2010/03/12
ivan.popelyshev,Russia,1746,2010/03/12
ACRush,China,1692,2010/03/12
hos.lyric,Japan,1675,2010/03/12
Gassa,Russia,1673,2010/03/12
AlexFetisov,United States,1667,2010/03/12
Zhukov_Dmitry,Russia,1665,2010/03/12
Ignat,Unknown,1661,2010/03/12
Petr,Russia,1891,2010/03/21
ilyakor,Switzerland,1876,2010/03/21
RAD,Russia,1850,2010/03/21
RAVEman,Ukraine,1813,2010/03/21
Zhukov_Dmitry,Russia,1808,2010/03/21
ivan.popelyshev,Russia,1800,2010/03/21
Gassa,Russia,1794,2010/03/21
monsoon,Poland,1767,2010/03/21
Seyaua,Ukraine,1739,2010/03/21
Fefer_Ivan,Russia,1716,2010/03/21
Petr,Russia,1977,2010/04/02
ilyakor,Switzerland,1924,2010/04/02
ivan.popelyshev,Russia,1887,2010/04/02
RAVEman,Ukraine,1878,2010/04/02
